2024-04-16 01:52:16,779 INFO    MainThread:1121 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-16 01:52:16,782 INFO    MainThread:1121 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-16 01:52:16,782 INFO    MainThread:1121 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-16 01:52:43,617 INFO    MainThread:1121 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-16 01:52:43,622 INFO    MainThread:1121 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-16 01:52:43,623 INFO    MainThread:1121 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-16 01:52:44,583 INFO    MainThread:1121 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-16 01:52:44,586 INFO    MainThread:1121 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-16 01:52:44,586 INFO    MainThread:1121 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-16 01:53:01,988 INFO    MainThread:1121 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-16 01:53:54,026 INFO    MainThread:1121 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-16 01:53:54,026 INFO    MainThread:1121 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-16 01:53:54,068 INFO    MainThread:1121 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-16 01:53:54,074 INFO    MainThread:1121 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-16 01:53:54,074 INFO    MainThread:1121 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-16 01:53:54,139 INFO    MainThread:1121 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-16 01:53:54,145 INFO    MainThread:1121 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-16 01:53:54,145 INFO    MainThread:1121 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-16 01:54:45,807 INFO    MainThread:1121 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-16 01:54:47,303 INFO    MainThread:1121 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-16 01:54:47,303 INFO    MainThread:1121 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-16 01:54:47,310 INFO    MainThread:1121 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-16 01:54:47,313 INFO    MainThread:1121 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-16 01:54:47,313 INFO    MainThread:1121 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-16 01:54:47,360 INFO    MainThread:1121 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-16 01:54:47,367 INFO    MainThread:1121 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-16 01:54:47,367 INFO    MainThread:1121 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-16 01:54:47,419 INFO    MainThread:1121 [wandb_init.py:_resume_backend():437] resuming backend
2024-04-16 01:54:47,427 INFO    MainThread:1121 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-16 01:54:47,427 INFO    MainThread:1121 [wandb_init.py:_pause_backend():432] pausing backend
2024-04-16 01:54:48,263 INFO    MainThread:1121 [wandb_init.py:_resume_backend():437] resuming backend
